Age,M,F
Total,"134,790","143,480"
0 - 4,"5,110","4,960"
5-Sep,"5,960","5,710"
Oct-14,"6,440","6,210"
15 - 19,"6,770","6,670"
20 - 24,"7,840","7,340"
25 - 29,"9,040","8,810"
30 - 34,"9,730","10,020"
35 - 39,"8,250","9,370"
40 - 44,"8,840","10,300"
45 - 49,"9,850","10,860"
50 - 54,"9,870","10,120"
55 - 59,"10,100","10,550"
60 - 64,"10,540","11,100"
65 - 69,"9,430","10,280"
70 - 74,"7,920","8,690"
75 - 79,"4,450","5,150"
80 - 84,"2,720","3,750"
85 - 89,"1,310","2,150"
90 & Over,640,"1,460"
